요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
토요일,3,334,도곡,하선,7.2,11.3,7.4,6.8,8.4,13.8,15.6,13.0,14.5,13.2,13.3,12.4,18.2,17.0,20.8,22.4,16.0,17.3,19.4,19.9,20.6,23.3,19.9,24.7,24.9,20.6,20.3,17.4,15.5,16.2,15.4,16.1,15.6,19.6,14.3,11.3,9.3,0.0,
토요일,3,335,대치,하선,7.6,10.1,6.6,6.3,7.1,8.8,11.7,10.3,11.4,9.8,11.4,10.7,15.9,15.2,16.1,17.3,15.3,16.0,17.2,17.2,20.9,20.1,18.5,25.8,20.8,18.6,19.0,16.8,14.2,15.4,14.7,15.9,13.8,23.0,13.7,10.5,8.2,0.0,
토요일,3,336,학여울,하선,7.9,10.3,7.0,6.4,6.9,8.6,10.7,8.9,9.2,9.3,10.4,10.0,15.1,14.3,15.0,15.8,13.7,15.3,15.8,16.2,19.7,19.7,18.1,26.1,21.1,18.9,19.0,16.5,13.9,15.3,14.5,15.8,13.5,22.7,13.4,10.4,7.9,0.0,
토요일,3,337,대청,하선,8.3,10.1,6.5,6.2,6.5,7.7,9.9,8.6,8.7,9.0,9.7,10.0,14.2,13.7,14.0,14.3,12.3,14.2,14.4,15.1,18.3,17.5,16.6,24.1,19.1,17.1,16.8,14.5,12.3,13.4,12.8,13.6,11.7,19.0,11.5,8.1,8.3,2.1,
토요일,3,338,일원,하선,8.3,8.9,4.9,5.1,5.6,6.9,9.3,8.3,8.3,7.9,9.3,8.6,13.4,13.5,12.4,13.8,11.5,11.9,14.2,14.2,16.5,16.7,17.7,19.4,19.0,17.0,14.6,12.8,12.6,10.9,11.3,13.2,10.4,15.7,12.1,6.8,7.4,1.8,
토요일,3,339,수서,하선,7.6,6.9,4.0,4.2,5.6,7.0,8.4,8.2,7.2,8.6,9.3,9.8,12.9,13.9,12.7,14.7,10.9,10.3,13.4,12.7,15.7,17.2,16.4,18.9,16.9,14.8,13.1,10.7,11.5,8.5,9.3,12.3,9.2,13.1,11.1,5.8,7.2,0.0,
토요일,3,340,가락시장,하선,,5.0,3.2,3.4,3.9,5.3,5.0,4.2,4.9,5.0,4.4,5.5,7.6,6.7,7.5,8.8,6.3,5.4,8.5,7.3,8.8,11.7,9.9,11.2,12.8,9.4,9.0,7.4,7.2,7.1,10.4,8.9,8.9,11.0,9.0,8.8,6.9,0.0,
토요일,3,341,경찰병원,하선,,4.0,2.4,3.0,2.9,4.3,3.8,3.7,4.0,4.1,4.1,4.1,5.8,6.1,5.3,6.2,5.9,4.7,5.6,6.6,7.5,8.5,8.8,9.7,10.1,6.7,7.3,5.8,5.5,5.4,7.7,6.1,6.8,8.6,7.1,6.1,4.9,0.0,
토요일,3,342,오금,하선,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
일요일,3,309,지축,하선,24.2,10.9,13.6,14.5,22.0,30.2,23.7,37.1,36.8,39.7,32.4,30.3,37.8,44.3,34.2,30.5,34.6,35.7,36.3,35.8,33.3,32.8,32.3,29.2,26.0,17.5,19.8,19.9,17.4,11.5,15.6,8.9,10.2,13.1,6.8,5.6,3.5,0.0,
